id,text,label,domain,spam_category,split,template_group
synthetic-v11-00001,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1000. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00002,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1001.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00004,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1003. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00006,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1005. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00007,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Strasbourg-1006. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00008,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1007.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00010,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1009. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00012,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1011. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00013,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Bordeaux-1012. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00014,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1013.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00016,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1015. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00018,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1017. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00019,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Angers-1018. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00020,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1019.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00022,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1021. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00024,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Toulouse-1023. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00025,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Rouen-1024. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00026,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Marseille-1025.,spam,sms,phishing,train,86ed40bfcde0e72a
synthetic-v11-00028,Vérification nécessaire : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Reims-1027. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,5ef6f481165769ab
synthetic-v11-00030,Vérification nécessaire : Votre accès sera suspendu si vous ne confirmez pas vos informations. Ouvrez la page sécurisée pour confirmer vos données. Dossier Amiens-1029. La procédure expire dans quelques heures,spam,sms,phishing,train,7dc7500004bbee1b
synthetic-v11-00031,Alerte sécurité : Votre compte doit être vérifié avant ce soir. Ouvrez la page sécurisée pour confirmer vos données. Dossier Lyon-1030. Merci de ne jamais communiquer votre code par téléphone,spam,sms,phishing,train,bf04c17ada2e2e41
synthetic-v11-00032,Vérification nécessaire : Une activité inhabituelle a été détectée sur votre espace. Ouvrez la page sécurisée pour confirmer vos données. Dossier Nantes-1031.,spam,sms,phishing,train,86ed40bfcde0e72a
